Contexto;Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Nueva Columna
Un Science Hall fue construido en 1883 bajo la dirección de Fr. Zahm, pero en 1950 fue convertido en un edificio de unión estudiantil y nombrado LaFortune Center, en honor a Joseph LaFortune, un ejecutivo petrolero de Tulsa, Oklahoma. Comúnmente conocido como LaFun, es un edificio de 4 pisos de 83.000 pies cuadrados que proporciona a la comunidad de Notre Dame un lugar de encuentro para actividades sociales, recreativas, culturales y educativas. LaFortune emplea a 35 estudiantes a tiempo parcial y 29 empleados no estudiantes a tiempo completo y tiene un presupuesto anual de $1.2 millones. Muchas empresas, servicios y divisiones de la Oficina de Asuntos Estudiantiles se encuentran dentro. El edificio también alberga restaurantes de cadenas de restaurantes nacionales.;¿Qué persona supervisó la creación de un salón de ciencias en Notre Dame en 1883?;Fr. LeBlanc;Señor Zahm;El Papa Juan XXIII;Fr;Fr;Valor Predeterminado
Un Science Hall fue construido en 1883 bajo la dirección de Fr. Zahm, pero en 1950 fue convertido en un edificio de unión estudiantil y nombrado LaFortune Center, en honor a Joseph LaFortune, un ejecutivo petrolero de Tulsa, Oklahoma. Comúnmente conocido como LaFun, es un edificio de 4 pisos de 83.000 pies cuadrados que proporciona a la comunidad de Notre Dame un lugar de encuentro para actividades sociales, recreativas, culturales y educativas. LaFortune emplea a 35 estudiantes a tiempo parcial y 29 empleados no estudiantes a tiempo completo y tiene un presupuesto anual de $1.2 millones. Muchas empresas, servicios y divisiones de la Oficina de Asuntos Estudiantiles se encuentran dentro. El edificio también alberga restaurantes de cadenas de restaurantes nacionales.;¿En qué año el edificio del sindicato de estudiantes en Notre Dame pasó a llamarse LaFortune Center?;1948;1965;1950;1920;1950;Valor Predeterminado
Un Science Hall fue construido en 1883 bajo la dirección de Fr. Zahm, pero en 1950 fue convertido en un edificio de unión estudiantil y nombrado LaFortune Center, en honor a Joseph LaFortune, un ejecutivo petrolero de Tulsa, Oklahoma. Comúnmente conocido como LaFun, es un edificio de 4 pisos de 83.000 pies cuadrados que proporciona a la comunidad de Notre Dame un lugar de encuentro para actividades sociales, recreativas, culturales y educativas. LaFortune emplea a 35 estudiantes a tiempo parcial y 29 empleados no estudiantes a tiempo completo y tiene un presupuesto anual de $1.2 millones. Muchas empresas, servicios y divisiones de la Oficina de Asuntos Estudiantiles se encuentran dentro. El edificio también alberga restaurantes de cadenas de restaurantes nacionales.;¿Después de qué individuo fue nombrado el LaFortune Center Notre Dame?;Joseph LaFortune;Michael McNally;Marymount;Fr. Zahm;Joseph LaFortune;Valor Predeterminado
Un Science Hall fue construido en 1883 bajo la dirección de Fr. Zahm, pero en 1950 fue convertido en un edificio de unión estudiantil y nombrado LaFortune Center, en honor a Joseph LaFortune, un ejecutivo petrolero de Tulsa, Oklahoma. Comúnmente conocido como LaFun, es un edificio de 4 pisos de 83.000 pies cuadrados que proporciona a la comunidad de Notre Dame un lugar de encuentro para actividades sociales, recreativas, culturales y educativas. LaFortune emplea a 35 estudiantes a tiempo parcial y 29 empleados no estudiantes a tiempo completo y tiene un presupuesto anual de $1.2 millones. Muchas empresas, servicios y divisiones de la Oficina de Asuntos Estudiantiles se encuentran dentro. El edificio también alberga restaurantes de cadenas de restaurantes nacionales.;¿Qué tan grande es el LaFortune Center en Notre Dame?; El LaFortune Center en Notre Dame tiene aproximadamente 80.000 pies cuadrados.; El LaFortune Center en Notre Dame ocupa una superficie de aproximadamente 90.000 pies cuadrados.;83.000 pies cuadrados; El edificio de la Fortuna Center de Notre Dame tiene un área de 85.000 pies cuadrados.;83.000 pies cuadrados;Valor Predeterminado
Un Science Hall fue construido en 1883 bajo la dirección de Fr. Zahm, pero en 1950 fue convertido en un edificio de unión estudiantil y nombrado LaFortune Center, en honor a Joseph LaFortune, un ejecutivo petrolero de Tulsa, Oklahoma. Comúnmente conocido como LaFun, es un edificio de 4 pisos de 83.000 pies cuadrados que proporciona a la comunidad de Notre Dame un lugar de encuentro para actividades sociales, recreativas, culturales y educativas. LaFortune emplea a 35 estudiantes a tiempo parcial y 29 empleados no estudiantes a tiempo completo y tiene un presupuesto anual de $1.2 millones. Muchas empresas, servicios y divisiones de la Oficina de Asuntos Estudiantiles se encuentran dentro. El edificio también alberga restaurantes de cadenas de restaurantes nacionales.;¿Cuál es el presupuesto anual del Centro LaFortune de Notre Dame?;$800.000;$900.000;$1.2 millones;$1,500 millones;$1.2 millones;Valor Predeterminado
"Desde la construcción de sus edificios más antiguos, la planta física de la universidad ha crecido sustancialmente. A lo largo de los años se han construido 29 residencias para los estudiantes y cada una ha sido construida con su propia capilla. Muchos edificios académicos fueron agregados junto con un sistema de bibliotecas, el más prominente de los cuales es la Biblioteca Theodore Hesburgh, construida en 1963 y que hoy contiene casi 4 millones de libros. Desde 2004, se han añadido varios edificios, incluyendo el DeBartolo Performing Arts Center, el complejo Guglielmino, y el Jordan Hall of Science. Además, una nueva residencia para hombres, Duncan Hall, se inició el 8 de marzo de 2007, y comenzó a aceptar residentes para el semestre de otoño de 2008. Ryan Hall se completó y comenzó a albergar mujeres de pregrado en el otoño de 2009. Un nuevo edificio de ingeniería, Stinson-Remick Hall, una nueva combinación del Centro de Preocupaciones Sociales / Instituto de la Vida de la Iglesia, Geddes Hall, y una adición de la escuela de derecho se han completado recientemente. Además, el nuevo estadio de hockey abrió en el otoño de 2011. El Stayer Center for Executive Education, que alberga el Mendoza College of Business Executive Education Department, abrió sus puertas en marzo de 2013 justo al sur del Mendoza College of Business Building. Debido a su larga tradición atlética, la universidad cuenta con muchos edificios dedicados al deporte. El más famoso es el Estadio Notre Dame, sede del equipo de fútbol irlandés; Ha sido renovada varias veces y hoy puede albergar a más de 80 mil personas. Los lugares destacados incluyen también el Centro Edmund P. Joyce, con canchas interiores de baloncesto y voleibol, y el Compton Family Ice Arena, una instalación de dos pistas dedicada al hockey. Además, hay muchos campos al aire libre, como el Frank Eck Stadium para el béisbol.";¿Cuántas salas hay en Notre Dame?;32;30;40;29;29;Valor Predeterminado
"Desde la construcción de sus edificios más antiguos, la planta física de la universidad ha crecido sustancialmente. A lo largo de los años se han construido 29 residencias para los estudiantes y cada una ha sido construida con su propia capilla. Muchos edificios académicos fueron agregados junto con un sistema de bibliotecas, el más prominente de los cuales es la Biblioteca Theodore Hesburgh, construida en 1963 y que hoy contiene casi 4 millones de libros. Desde 2004, se han añadido varios edificios, incluyendo el DeBartolo Performing Arts Center, el complejo Guglielmino, y el Jordan Hall of Science. Además, una nueva residencia para hombres, Duncan Hall, se inició el 8 de marzo de 2007, y comenzó a aceptar residentes para el semestre de otoño de 2008. Ryan Hall se completó y comenzó a albergar mujeres de pregrado en el otoño de 2009. Un nuevo edificio de ingeniería, Stinson-Remick Hall, una nueva combinación del Centro de Preocupaciones Sociales / Instituto de la Vida de la Iglesia, Geddes Hall, y una adición de la escuela de derecho se han completado recientemente. Además, el nuevo estadio de hockey abrió en el otoño de 2011. El Stayer Center for Executive Education, que alberga el Mendoza College of Business Executive Education Department, abrió sus puertas en marzo de 2013 justo al sur del Mendoza College of Business Building. Debido a su larga tradición atlética, la universidad cuenta con muchos edificios dedicados al deporte. El más famoso es el Estadio Notre Dame, sede del equipo de fútbol irlandés; Ha sido renovada varias veces y hoy puede albergar a más de 80 mil personas. Los lugares destacados incluyen también el Centro Edmund P. Joyce, con canchas interiores de baloncesto y voleibol, y el Compton Family Ice Arena, una instalación de dos pistas dedicada al hockey. Además, hay muchos campos al aire libre, como el Frank Eck Stadium para el béisbol.";¿Qué biblioteca fue construida en Notre Dame en 1963?;Biblioteca Saint Mary's;Biblioteca del Seminario;Biblioteca de los Padres;Biblioteca Theodore Hesburgh;Biblioteca Theodore Hesburgh;Valor Predeterminado
"Desde la construcción de sus edificios más antiguos, la planta física de la universidad ha crecido sustancialmente. A lo largo de los años se han construido 29 residencias para los estudiantes y cada una ha sido construida con su propia capilla. Muchos edificios académicos fueron agregados junto con un sistema de bibliotecas, el más prominente de los cuales es la Biblioteca Theodore Hesburgh, construida en 1963 y que hoy contiene casi 4 millones de libros. Desde 2004, se han añadido varios edificios, incluyendo el DeBartolo Performing Arts Center, el complejo Guglielmino, y el Jordan Hall of Science. Además, una nueva residencia para hombres, Duncan Hall, se inició el 8 de marzo de 2007, y comenzó a aceptar residentes para el semestre de otoño de 2008. Ryan Hall se completó y comenzó a albergar mujeres de pregrado en el otoño de 2009. Un nuevo edificio de ingeniería, Stinson-Remick Hall, una nueva combinación del Centro de Preocupaciones Sociales / Instituto de la Vida de la Iglesia, Geddes Hall, y una adición de la escuela de derecho se han completado recientemente. Además, el nuevo estadio de hockey abrió en el otoño de 2011. El Stayer Center for Executive Education, que alberga el Mendoza College of Business Executive Education Department, abrió sus puertas en marzo de 2013 justo al sur del Mendoza College of Business Building. Debido a su larga tradición atlética, la universidad cuenta con muchos edificios dedicados al deporte. El más famoso es el Estadio Notre Dame, sede del equipo de fútbol irlandés; Ha sido renovada varias veces y hoy puede albergar a más de 80 mil personas. Los lugares destacados incluyen también el Centro Edmund P. Joyce, con canchas interiores de baloncesto y voleibol, y el Compton Family Ice Arena, una instalación de dos pistas dedicada al hockey. Además, hay muchos campos al aire libre, como el Frank Eck Stadium para el béisbol.";La construcción comenzó el 8 de marzo de 2007 en Notre Dame.;Jordan Hall of Science;Ryan Hall;Duncan Hall;DeBartolo Performing Arts Center;Duncan Hall;Valor Predeterminado
La Universidad de Notre Dame ha hecho de ser un líder sostenible una parte integral de su misión, la creación de la Oficina de Sostenibilidad en 2008 para lograr una serie de objetivos en las áreas de generación de energía, diseño y construcción. Los servicios de comedor de Notre Dame generan el 40% de sus alimentos a nivel local y ofrecen mariscos capturados de manera sostenible, así como muchas opciones orgánicas, de comercio justo y veganas. En el College Sustainability Report Card 2010, la Universidad de Notre Dame recibió una calificación B. La universidad también alberga el Instituto Kroc de Estudios Internacionales de la Paz. El padre Gustavo Gutiérrez, fundador de la Teología de la Liberación, es actualmente miembro de la facultad.;¿Qué porcentaje de la comida servida en Notre Dame es cultivada localmente?; 30%; 20%;40%; 50%;40%;Valor Predeterminado
La Universidad de Notre Dame ha hecho de ser un líder sostenible una parte integral de su misión, la creación de la Oficina de Sostenibilidad en 2008 para lograr una serie de objetivos en las áreas de generación de energía, diseño y construcción. Los servicios de comedor de Notre Dame generan el 40% de sus alimentos a nivel local y ofrecen mariscos capturados de manera sostenible, así como muchas opciones orgánicas, de comercio justo y veganas. En el College Sustainability Report Card 2010, la Universidad de Notre Dame recibió una calificación B. La universidad también alberga el Instituto Kroc de Estudios Internacionales de la Paz. El padre Gustavo Gutiérrez, fundador de la Teología de la Liberación, es actualmente miembro de la facultad.;Notre Dame obtuvo una B por sus prácticas de sostenibilidad de qué entidad?;La Asociación de Universidades Católicas de Estados Unidos;El Instituto de Investigación Sostenible;el;La Sociedad para la Protección del Medio Ambiente;el;Valor Predeterminado
La Universidad de Notre Dame ha hecho de ser un líder sostenible una parte integral de su misión, la creación de la Oficina de Sostenibilidad en 2008 para lograr una serie de objetivos en las áreas de generación de energía, diseño y construcción. Los servicios de comedor de Notre Dame generan el 40% de sus alimentos a nivel local y ofrecen mariscos capturados de manera sostenible, así como muchas opciones orgánicas, de comercio justo y veganas. En el College Sustainability Report Card 2010, la Universidad de Notre Dame recibió una calificación B. La universidad también alberga el Instituto Kroc de Estudios Internacionales de la Paz. El padre Gustavo Gutiérrez, fundador de la Teología de la Liberación, es actualmente miembro de la facultad.;Gustavo Gutiérrez es profesor de qué instituto?;Instituto Kroc de Estudios Internacionales de la Paz;Escuela de Teología de la Universidad;Departamento de Religiones;Instituto de Estudios Filosóficos;Instituto Kroc de Estudios Internacionales de la Paz;Valor Predeterminado
La universidad posee varios centros alrededor del mundo utilizados para estudios e investigaciones internacionales, conferencias en el extranjero y apoyo de alumnos. La universidad ha tenido presencia en Londres, Inglaterra, desde 1968. Desde 1998, su centro de Londres se ha establecido en el antiguo United University Club en 1 Suffolk Street en Trafalgar Square. El centro permite a los Colleges of Arts & Letters, Business Administration, Science, Engineering y Law School desarrollar sus propios programas en Londres, así como organizar conferencias y simposios. Otras pasarelas globales se encuentran en Pekín, Chicago, Dublín, Jerusalén y Roma.;¿En qué año tuvo por primera vez una instalación en Inglaterra?;1968; 1988; 2004; 1995;1968;Valor Predeterminado
La universidad posee varios centros alrededor del mundo utilizados para estudios e investigaciones internacionales, conferencias en el extranjero y apoyo de alumnos. La universidad ha tenido presencia en Londres, Inglaterra, desde 1968. Desde 1998, su centro de Londres se ha establecido en el antiguo United University Club en 1 Suffolk Street en Trafalgar Square. El centro permite a los Colleges of Arts & Letters, Business Administration, Science, Engineering y Law School desarrollar sus propios programas en Londres, así como organizar conferencias y simposios. Otras pasarelas globales se encuentran en Pekín, Chicago, Dublín, Jerusalén y Roma.;¿En qué lugar está el London Center operado por Notre Dame?;Piccadilly Circus, Londres;1 Suffolk Street en Trafalgar Square;Grosvenor Square, Londres;Via del Puente, Londres;1 Suffolk Street en Trafalgar Square;Valor Predeterminado
La universidad posee varios centros alrededor del mundo utilizados para estudios e investigaciones internacionales, conferencias en el extranjero y apoyo de alumnos. La universidad ha tenido presencia en Londres, Inglaterra, desde 1968. Desde 1998, su centro de Londres se ha establecido en el antiguo United University Club en 1 Suffolk Street en Trafalgar Square. El centro permite a los Colleges of Arts & Letters, Business Administration, Science, Engineering y Law School desarrollar sus propios programas en Londres, así como organizar conferencias y simposios. Otras pasarelas globales se encuentran en Pekín, Chicago, Dublín, Jerusalén y Roma.;Notre Dame tiene un centro en Pekín, ¿a qué se refiere como?;El centro de investigación global de la universidad está ubicado en Pekín.;pasarelas globales;La universidad posee un colegio en Pekín.;Universidad de Notre Dame tiene un campus en Pekín.;pasarelas globales;Valor Predeterminado
El Colegio de Artes y Letras se estableció como la primera universidad de la universidad en 1842 con los primeros grados dados en 1849. El primer plan de estudios académico de la universidad se inspiró en el jesuita Ratio Studiorum de la Universidad de San Luis. Hoy el colegio, ubicado en O 'Shaughnessy Hall, incluye 20 departamentos en las áreas de bellas artes, humanidades y ciencias sociales, y otorga el Bachelor of Arts (B.A.) Se graduó en 33 carreras, por lo que es la universidad más grande. Hay alrededor de 2.500 estudiantes universitarios y 750 graduados matriculados en la universidad.;¿Cuál fue la primera universidad de Notre Dame?;La Universidad de Notre Dame;Colegio de Artes y Letras;El Seminario Católico de Notre Dame;La Academia de San Benito;Colegio de Artes y Letras;Valor Predeterminado
El Colegio de Artes y Letras se estableció como la primera universidad de la universidad en 1842 con los primeros grados dados en 1849. El primer plan de estudios académico de la universidad se inspiró en el jesuita Ratio Studiorum de la Universidad de San Luis. Hoy el colegio, ubicado en O 'Shaughnessy Hall, incluye 20 departamentos en las áreas de bellas artes, humanidades y ciencias sociales, y otorga el Bachelor of Arts (B.A.) Se graduó en 33 carreras, por lo que es la universidad más grande. Hay alrededor de 2.500 estudiantes universitarios y 750 graduados matriculados en la universidad.;¿En qué año se creó el Colegio de Artes y Letras de Notre Dame?;1855;1860;1842;1850;1842;Valor Predeterminado
El Colegio de Artes y Letras se estableció como la primera universidad de la universidad en 1842 con los primeros grados dados en 1849. El primer plan de estudios académico de la universidad se inspiró en el jesuita Ratio Studiorum de la Universidad de San Luis. Hoy el colegio, ubicado en O 'Shaughnessy Hall, incluye 20 departamentos en las áreas de bellas artes, humanidades y ciencias sociales, y otorga el Bachelor of Arts (B.A.) Se graduó en 33 carreras, por lo que es la universidad más grande. Hay alrededor de 2.500 estudiantes universitarios y 750 graduados matriculados en la universidad.;¿En qué año el Colegio de Artes y Letras de Notre Dame obtuvo su primer grado?;1849; 1860; 1832; 1845;1849;Valor Predeterminado
El Colegio de Artes y Letras se estableció como la primera universidad de la universidad en 1842 con los primeros grados dados en 1849. El primer plan de estudios académico de la universidad se inspiró en el jesuita Ratio Studiorum de la Universidad de San Luis. Hoy el colegio, ubicado en O 'Shaughnessy Hall, incluye 20 departamentos en las áreas de bellas artes, humanidades y ciencias sociales, y otorga el Bachelor of Arts (B.A.) Se graduó en 33 carreras, por lo que es la universidad más grande. Hay alrededor de 2.500 estudiantes universitarios y 750 graduados matriculados en la universidad.;¿En qué universidad basa su currículo?;La Universidad de Harvard;Universidad de San Luis;El Instituto Tecnológico de Massachusetts;El Colegio de San Francisco;Universidad de San Luis;Valor Predeterminado
El Colegio de Artes y Letras se estableció como la primera universidad de la universidad en 1842 con los primeros grados dados en 1849. El primer plan de estudios académico de la universidad se inspiró en el jesuita Ratio Studiorum de la Universidad de San Luis. Hoy el colegio, ubicado en O 'Shaughnessy Hall, incluye 20 departamentos en las áreas de bellas artes, humanidades y ciencias sociales, y otorga el Bachelor of Arts (B.A.) Se graduó en 33 carreras, por lo que es la universidad más grande. Hay alrededor de 2.500 estudiantes universitarios y 750 graduados matriculados en la universidad.;¿Cuántas licenciaturas ofrece el Colegio de Artes y Letras de Notre Dame?;La universidad tiene alrededor de 25 departamentos en el área de artes y humanidades.;El Colegio de Artes y Letras de Notre Dame ofrece 50 licenciaturas.;Ofrece un total de 40 especializaciones en bellas artes, humanidades y ciencias sociales.;33;33;Valor Predeterminado
El Colegio de Ciencia fue establecido en la universidad en 1865 por el presidente Padre Patrick Dillon. Los cursos científicos de Dillon fueron de seis años de trabajo, incluyendo cursos de matemáticas de alto nivel. Hoy en día la universidad, albergada en el recién construido Jordan Hall of Science, incluye más de 1.200 estudiantes de seis departamentos de estudio - biología, química, matemáticas, física, estudios pre-profesionales y matemáticas aplicadas y estadísticas (ACMS) Grados. Según las estadísticas universitarias, su programa de ciencia pre-profesional tiene una de las tasas de aceptación más altas para la escuela de medicina de cualquier universidad en los Estados Unidos.;¿Qué presidente de Notre Dame creó el Colegio de Ciencias?;El director general de la universidad, Padre Francis Dillon, estableció el instituto en 1865.;La figura clave detrás del Colegio de Ciencia fue Padre John Dillon.;El presidente de Notre Dame que creó el Colegio de Ciencias fue Padre Michael Dillon.;Padre Patrick Dillon;Padre Patrick Dillon;Valor Predeterminado
El Colegio de Ciencia fue establecido en la universidad en 1865 por el presidente Padre Patrick Dillon. Los cursos científicos de Dillon fueron de seis años de trabajo, incluyendo cursos de matemáticas de alto nivel. Hoy en día la universidad, albergada en el recién construido Jordan Hall of Science, incluye más de 1.200 estudiantes de seis departamentos de estudio - biología, química, matemáticas, física, estudios pre-profesionales y matemáticas aplicadas y estadísticas (ACMS) Grados. Según las estadísticas universitarias, su programa de ciencia pre-profesional tiene una de las tasas de aceptación más altas para la escuela de medicina de cualquier universidad en los Estados Unidos.;¿En qué año se formó el Notre Dame College of Science?; 1875; 1850;1865; 1880;1865;Valor Predeterminado
El Colegio de Ciencia fue establecido en la universidad en 1865 por el presidente Padre Patrick Dillon. Los cursos científicos de Dillon fueron de seis años de trabajo, incluyendo cursos de matemáticas de alto nivel. Hoy en día la universidad, albergada en el recién construido Jordan Hall of Science, incluye más de 1.200 estudiantes de seis departamentos de estudio - biología, química, matemáticas, física, estudios pre-profesionales y matemáticas aplicadas y estadísticas (ACMS) Grados. Según las estadísticas universitarias, su programa de ciencia pre-profesional tiene una de las tasas de aceptación más altas para la escuela de medicina de cualquier universidad en los Estados Unidos.;¿Cuál sala de Notre Dame contiene el actual Colegio de Ciencias?;El Colegio de Artes de Notre Dame;La sala de Ciencias de Notre Dame;La Facultad de Bellas Artes de Notre Dame;Jordan Hall of Science;Jordan Hall of Science;Valor Predeterminado
El Colegio de Ciencia fue establecido en la universidad en 1865 por el presidente Padre Patrick Dillon. Los cursos científicos de Dillon fueron de seis años de trabajo, incluyendo cursos de matemáticas de alto nivel. Hoy en día la universidad, albergada en el recién construido Jordan Hall of Science, incluye más de 1.200 estudiantes de seis departamentos de estudio - biología, química, matemáticas, física, estudios pre-profesionales y matemáticas aplicadas y estadísticas (ACMS) Grados. Según las estadísticas universitarias, su programa de ciencia pre-profesional tiene una de las tasas de aceptación más altas para la escuela de medicina de cualquier universidad en los Estados Unidos.;¿Cuántos estudiantes de pregrado asisten hoy al Colegio de Ciencias de Notre Dame?;900 estudiantes;más de 1.200;800 estudiantes;500 estudiantes;más de 1.200;Valor Predeterminado
La Escuela de Arquitectura se estableció en 1899, aunque los grados en arquitectura fueron otorgados por primera vez por la universidad en 1898. Hoy en día la escuela, alojada en Bond Hall, ofrece un programa de cinco años de pregrado que conduce a la licenciatura en Arquitectura. Todos los estudiantes de pregrado estudian el tercer año del programa en Roma. La universidad es reconocida mundialmente por su Escuela de Arquitectura de Notre Dame, una facultad que enseña (pre-modernista) arquitectura tradicional y clásica y planificación urbana (e.g. Siguiendo los principios del Nuevo Urbanismo y Nueva Arquitectura Clásica). También otorga el premio anual Driehaus Architecture Prize.;En 1899 Notre Dame formó ¿qué universidad?;Colegio de Leyes;Facultad de Medicina;Escuela de Arquitectura;Escuela de Ingeniería;Escuela de Arquitectura;Valor Predeterminado
La Escuela de Arquitectura se estableció en 1899, aunque los grados en arquitectura fueron otorgados por primera vez por la universidad en 1898. Hoy en día la escuela, alojada en Bond Hall, ofrece un programa de cinco años de pregrado que conduce a la licenciatura en Arquitectura. Todos los estudiantes de pregrado estudian el tercer año del programa en Roma. La universidad es reconocida mundialmente por su Escuela de Arquitectura de Notre Dame, una facultad que enseña (pre-modernista) arquitectura tradicional y clásica y planificación urbana (e.g. Siguiendo los principios del Nuevo Urbanismo y Nueva Arquitectura Clásica). También otorga el premio anual Driehaus Architecture Prize.;¿En qué edificio está la actual Escuela de Arquitectura alojada en Notre Dame?;Bond Hall;The Basilica of the Sacred Heart;The Joyce Guggenheim School of Architecture;Hyslop Hall;Bond Hall;Valor Predeterminado
La Escuela de Arquitectura se estableció en 1899, aunque los grados en arquitectura fueron otorgados por primera vez por la universidad en 1898. Hoy en día la escuela, alojada en Bond Hall, ofrece un programa de cinco años de pregrado que conduce a la licenciatura en Arquitectura. Todos los estudiantes de pregrado estudian el tercer año del programa en Roma. La universidad es reconocida mundialmente por su Escuela de Arquitectura de Notre Dame, una facultad que enseña (pre-modernista) arquitectura tradicional y clásica y planificación urbana (e.g. Siguiendo los principios del Nuevo Urbanismo y Nueva Arquitectura Clásica). También otorga el premio anual Driehaus Architecture Prize.;¿Qué longitud es el curso de estudios en la Escuela de Arquitectura de Notre Dame?;Tres años y tres meses;Cinco años;cinco años;Cuatro años y medio;cinco años;Valor Predeterminado
La Escuela de Arquitectura se estableció en 1899, aunque los grados en arquitectura fueron otorgados por primera vez por la universidad en 1898. Hoy en día la escuela, alojada en Bond Hall, ofrece un programa de cinco años de pregrado que conduce a la licenciatura en Arquitectura. Todos los estudiantes de pregrado estudian el tercer año del programa en Roma. La universidad es reconocida mundialmente por su Escuela de Arquitectura de Notre Dame, una facultad que enseña (pre-modernista) arquitectura tradicional y clásica y planificación urbana (e.g. Siguiendo los principios del Nuevo Urbanismo y Nueva Arquitectura Clásica). También otorga el premio anual Driehaus Architecture Prize.;¿En qué lugar pasan los estudiantes de la Escuela de Arquitectura de Notre Dame su tercer año?;Los estudiantes de pregrado pasan su tercer año de la Escuela de Arquitectura de Notre Dame en la ciudad de Chicago.;En la Escuela de Arquitectura de Notre Dame, el tercer año del programa de arquitectura se imparte en Londres.;Roma;El tercer año del programa de arquitectura en la Escuela de Arquitectura de Notre Dame se dicta en Bond Hall.;Roma;Valor Predeterminado
La Escuela de Arquitectura se estableció en 1899, aunque los grados en arquitectura fueron otorgados por primera vez por la universidad en 1898. Hoy en día la escuela, alojada en Bond Hall, ofrece un programa de cinco años de pregrado que conduce a la licenciatura en Arquitectura. Todos los estudiantes de pregrado estudian el tercer año del programa en Roma. La universidad es reconocida mundialmente por su Escuela de Arquitectura de Notre Dame, una facultad que enseña (pre-modernista) arquitectura tradicional y clásica y planificación urbana (e.g. Siguiendo los principios del Nuevo Urbanismo y Nueva Arquitectura Clásica). También otorga el premio anual Driehaus Architecture Prize.;¿Qué prestigioso premio otorga la Escuela de Arquitectura de Notre Dame?;Premio RIBA;Driehaus Architecture;Medalla de Oro;Premio Pritzker;Driehaus Architecture;Valor Predeterminado
El sistema de bibliotecas también incluye bibliotecas de Arquitectura, Química y Física, Ingeniería, Derecho y Matemáticas, así como centros de información en el Mendoza College of Business, el Kellogg Institute for International Studies, el Instituto Joan B. Kroghessy. Una biblioteca de teología también se abrió en otoño de 2015. Situado en la primera planta de Stanford Hall, es la primera rama del sistema de bibliotecas que se aloja en una habitación dormitorio. El sistema de bibliotecas tiene más de tres millones de volúmenes, fue la biblioteca universitaria más grande del mundo después de su finalización, y sigue siendo una de las 100 bibliotecas más grandes del país.;¿En qué año se produjo la apertura de una biblioteca de teología en Notre Dame?; 2005; 2020;2015; 2010;2015;Valor Predeterminado
El sistema de bibliotecas también incluye bibliotecas de Arquitectura, Química y Física, Ingeniería, Derecho y Matemáticas, así como centros de información en el Mendoza College of Business, el Kellogg Institute for International Studies, el Instituto Joan B. Kroghessy. Una biblioteca de teología también se abrió en otoño de 2015. Situado en la primera planta de Stanford Hall, es la primera rama del sistema de bibliotecas que se aloja en una habitación dormitorio. El sistema de bibliotecas tiene más de tres millones de volúmenes, fue la biblioteca universitaria más grande del mundo después de su finalización, y sigue siendo una de las 100 bibliotecas más grandes del país.;¿Dónde está la biblioteca de teología en Notre Dame?;En el centro de información del Kellogg Institute for International Studies.;la primera planta de Stanford Hall;En la segunda planta del Stanford Hall.;En el campus de la Universidad de Notre Dame.;la primera planta de Stanford Hall;Valor Predeterminado
El sistema de bibliotecas también incluye bibliotecas de Arquitectura, Química y Física, Ingeniería, Derecho y Matemáticas, así como centros de información en el Mendoza College of Business, el Kellogg Institute for International Studies, el Instituto Joan B. Kroghessy. Una biblioteca de teología también se abrió en otoño de 2015. Situado en la primera planta de Stanford Hall, es la primera rama del sistema de bibliotecas que se aloja en una habitación dormitorio. El sistema de bibliotecas tiene más de tres millones de volúmenes, fue la biblioteca universitaria más grande del mundo después de su finalización, y sigue siendo una de las 100 bibliotecas más grandes del país.;¿Dónde se encuentra la biblioteca de Notre Dame?;La biblioteca de Notre Dame está ubicada en el centro de Roma.;La biblioteca más grande del mundo se encuentra en la Universidad de Oxford.;El sistema de bibliotecas de Notre Dame está ubicado en la ciudad de Buenos Aires.;una de las 100;una de las 100;Valor Predeterminado
"El ascenso de Hitler y otros dictadores en la década de 1930 obligó a numerosos intelectuales católicos a huir de Europa. El presidente John O 'Hara trajo muchos a Notre Dame. De Alemania vino Anton-Hermann Chroust (1907-1982) en los clásicos y el derecho, y Waldemar Gurian un intelectual católico alemán de ascendencia judía. El positivismo dominó la vida intelectual estadounidense en la década de 1920 en adelante, pero en marcado contraste, Gurian recibió una educación católica alemana y escribió su tesis doctoral bajo Max Scheler. Ivan Meštrović (1883-1962), un renombrado escultor, llevó la cultura croata al campus, 1955-62. Yves Simon (1903-61), trajo a la ND en la década de 1940 las ideas de los estudios franceses en la tradición aristotélica de la filosofía; Su propio profesor Jacques Maritain (1882-73) fue un visitante frecuente del campus.";¿Qué causó que muchos intelectuales católicos abandonaran Europa en la década de 1930?;El Golpe de Estado del 9 de noviembre;La Gran Depresión;La Primavera Francesa;El ascenso de Hitler y otros dictadores;El ascenso de Hitler y otros dictadores;Valor Predeterminado
